chr,start,end,Dm,segregation_site,theta_pi,theta_s,geneid
3,1,17,-1.5623495986909,2,0.00926002926604022,0.0366655574424482,largedata/Dm/gene_CG/cg_input/AC147602.5_FG004_cg.out
2,1,123,-1.62255314971091,43,0.0561916753079225,0.102873026036996,largedata/Dm/gene_CG/cg_input/AC148152.3_FG001_cg.out
2,1,80,-2.11402752145142,4,0.00259723508051456,0.0149736215315737,largedata/Dm/gene_CG/cg_input/AC148152.3_FG005_cg.out
2,1,94,0.472748850079805,50,0.251482223854062,0.222633801925397,largedata/Dm/gene_CG/cg_input/AC148152.3_FG008_cg.out
7,1,66,-0.329756534275718,44,0.265044005382586,0.291460132064383,largedata/Dm/gene_CG/cg_input/AC148167.6_FG001_cg.out
9,1,101,-2.1645873278162,30,0.0571268096827988,0.14336987389365,largedata/Dm/gene_CG/cg_input/AC149475.2_FG003_cg.out
9,1,200,-1.03761414862208,126,0.213217174871561,0.29554952509255,largedata/Dm/gene_CG/cg_input/AC149475.2_FG005_cg.out
9,1,63,-1.0218489284265,1,0.00166292114092014,0.00472513382208779,largedata/Dm/gene_CG/cg_input/AC149475.2_FG007_cg.out
9,1,57,5.82288848429908,44,0.802836049219724,0.308119612303277,largedata/Dm/gene_CG/cg_input/AC149810.2_FG008_cg.out
9,1,40,0.896509137890819,31,0.41224654002112,0.329740298458047,largedata/Dm/gene_CG/cg_input/AC149818.2_FG001_cg.out
9,1,33,7.35034020927037,32,1.28615377337932,0.422214097953547,largedata/Dm/gene_CG/cg_input/AC149818.2_FG004_cg.out
9,1,58,-0.140165938985318,15,0.110542883984803,0.115257997807712,largedata/Dm/gene_CG/cg_input/AC149818.2_FG006_cg.out
9,1,77,2.83702053266901,74,0.751254382342851,0.424733720384556,largedata/Dm/gene_CG/cg_input/AC149818.2_FG007_cg.out
9,1,64,-1.22117611580415,33,0.16114881598071,0.243538178170964,largedata/Dm/gene_CG/cg_input/AC149818.2_FG008_cg.out
9,1,97,-1.92759349771633,45,0.0986065646440143,0.209291222143234,largedata/Dm/gene_CG/cg_input/AC149828.2_FG002_cg.out
9,1,36,-2.25416069162421,5,0.00723398964658716,0.0423096891934383,largedata/Dm/gene_CG/cg_input/AC149828.2_FG004_cg.out
9,1,88,2.19257193025984,66,0.508695569820154,0.318699288429349,largedata/Dm/gene_CG/cg_input/AC149829.2_FG006_cg.out
9,1,113,0.513507617576561,62,0.270573174586366,0.23739190364302,largedata/Dm/gene_CG/cg_input/AC150739.3_FG001_cg.out
10,1,18,1.29162222250362,16,0.526771531681344,0.382828725607151,largedata/Dm/gene_CG/cg_input/AC152495.1_FG002_cg.out
10,1,22,-0.44361582475463,15,0.265653857160666,0.305148483438287,largedata/Dm/gene_CG/cg_input/AC152495.1_FG010_cg.out
10,1,16,-0.98929835412985,10,0.187458560100994,0.268687871649861,largedata/Dm/gene_CG/cg_input/AC152495.1_FG011_cg.out
10,1,25,3.3449583343513,25,0.86160220834833,0.443660818318831,largedata/Dm/gene_CG/cg_input/AC152495.1_FG012_cg.out
10,1,145,-1.82819163322834,125,0.195226104264482,0.383683762866,largedata/Dm/gene_CG/cg_input/AC152495.1_FG013_cg.out
8,1,160,4.1735827975315,90,0.498001161471518,0.234023694411628,largedata/Dm/gene_CG/cg_input/AC155376.2_FG004_cg.out
8,1,62,1.54332976220562,54,0.523347837643454,0.368058414129364,largedata/Dm/gene_CG/cg_input/AC155376.2_FG005_cg.out
3,1,311,0.287851519172949,245,0.361314520382284,0.335516119836877,largedata/Dm/gene_CG/cg_input/AC155377.1_FG001_cg.out
3,1,207,-0.149005288188478,100,0.206785936224381,0.215436775597077,largedata/Dm/gene_CG/cg_input/AC155377.1_FG002_cg.out
1,1,109,0.806528776878849,36,0.175326649170935,0.143309584550811,largedata/Dm/gene_CG/cg_input/AC155390.2_FG002_cg.out
7,1,34,-2.25573158628398,5,0.00766155471055624,0.0448740876901676,largedata/Dm/gene_CG/cg_input/AC155434.2_FG001_cg.out
7,1,191,-1.57347170990199,130,0.178083582761497,0.308346481145002,largedata/Dm/gene_CG/cg_input/AC155434.2_FG004_cg.out
7,1,31,-1.5623495986909,2,0.00507808056524786,0.0201069185974716,largedata/Dm/gene_CG/cg_input/AC155434.2_FG006_cg.out
5,1,271,-1.17852625312103,176,0.208005462955156,0.303821228547325,largedata/Dm/gene_CG/cg_input/AC155496.2_FG009_cg.out
3,1,153,0.836231058318436,134,0.446465933989504,0.364562338171218,largedata/Dm/gene_CG/cg_input/AC155610.2_FG007_cg.out
3,1,34,3.53424784973733,34,0.878262422080147,0.443465399849771,largedata/Dm/gene_CG/cg_input/AC155622.2_FG001_cg.out
3,1,81,-1.43418054204055,49,0.169843565495861,0.279425790088736,largedata/Dm/gene_CG/cg_input/AC155622.2_FG004_cg.out
1,1,152,-0.74422018189798,84,0.199221339261729,0.24936841974266,largedata/Dm/gene_CG/cg_input/AC155624.2_FG006_cg.out
1,1,74,-2.16696703268729,40,0.10235998409218,0.253436620547182,largedata/Dm/gene_CG/cg_input/AC155624.2_FG011_cg.out
5,1,65,-2.11600238518066,4,0.0031976519318117,0.0184676820380973,largedata/Dm/gene_CG/cg_input/AC159612.1_FG007_cg.out
3,1,30,-1.95501782993004,3,0.00520211503991446,0.0302278982528765,largedata/Dm/gene_CG/cg_input/AC165171.2_FG002_cg.out
2,1,40,-1.95057106381718,3,0.00389866616203303,0.0225635150353193,largedata/Dm/gene_CG/cg_input/AC165178.2_FG004_cg.out
1,1,49,2.67316526254271,37,0.551531233602991,0.316850902025973,largedata/Dm/gene_CG/cg_input/AC166636.1_FG008_cg.out
1,1,129,-1.38203282481421,28,0.0627991480570545,0.102233398889664,largedata/Dm/gene_CG/cg_input/AC166636.1_FG009_cg.out
2,1,109,-2.20227373956081,85,0.138640437563687,0.342525030486731,largedata/Dm/gene_CG/cg_input/AC177833.2_FG001_cg.out
1,1,37,-2.30644309859227,21,0.0830718701279468,0.242924300425949,largedata/Dm/gene_CG/cg_input/AC177838.2_FG015_cg.out
1,1,11,2.22986972765401,11,0.747844795997051,0.44762346519068,largedata/Dm/gene_CG/cg_input/AC177850.2_FG003_cg.out
1,1,54,-1.00405623850361,35,0.211195533123681,0.292514908965472,largedata/Dm/gene_CG/cg_input/AC177897.2_FG002_cg.out
1,1,171,-1.18601065370674,33,0.0586756603373149,0.0874621816753241,largedata/Dm/gene_CG/cg_input/AC177899.2_FG009_cg.out
1,1,15,-2.13534091990578,11,0.108753347881456,0.308021559894667,largedata/Dm/gene_CG/cg_input/AC177899.2_FG012_cg.out
1,1,111,-1.20964850554218,54,0.152146760927733,0.227012938686251,largedata/Dm/gene_CG/cg_input/AC177908.3_FG002_cg.out
2,1,75,-1.84213967173239,69,0.202946793709538,0.405844949292811,largedata/Dm/gene_CG/cg_input/AC177924.2_FG001_cg.out
1,1,37,2.30100548013599,33,0.631462844075048,0.385058192044699,largedata/Dm/gene_CG/cg_input/AC177936.6_FG008_cg.out
4,1,68,-2.06682868268957,55,0.157369985419109,0.360843142067402,largedata/Dm/gene_CG/cg_input/AC182105.3_FG006_cg.out
3,1,94,-2.41507399293884,7,0.00387095552746149,0.0224012685858902,largedata/Dm/gene_CG/cg_input/AC182482.3_FG003_cg.out
3,1,130,1.90075324753093,122,0.625163663142926,0.413771793600172,largedata/Dm/gene_CG/cg_input/AC182617.3_FG001_cg.out
3,1,25,0.6236096978388,23,0.476942577590754,0.405372491825991,largedata/Dm/gene_CG/cg_input/AC183315.4_FG006_cg.out
2,1,194,-2.68915407240715,116,0.0686590378226115,0.248634772163487,largedata/Dm/gene_CG/cg_input/AC183412.5_FG005_cg.out
5,1,75,-2.52520002938217,54,0.0993528413077143,0.319837260975178,largedata/Dm/gene_CG/cg_input/AC183413.3_FG006_cg.out
3,1,19,-2.3292497821333,14,0.0897970968766294,0.291476947948668,largedata/Dm/gene_CG/cg_input/AC183509.1_FG001_cg.out
5,1,28,-0.82215544170822,28,0.353355762843325,0.4587601124429,largedata/Dm/gene_CG/cg_input/AC183817.2_FG002_cg.out
4,1,23,-0.552715654374037,17,0.265970373808201,0.316692649194168,largedata/Dm/gene_CG/cg_input/AC183888.4_FG006_cg.out
3,1,53,-1.04418699769123,43,0.261538791216711,0.366760052667706,largedata/Dm/gene_CG/cg_input/AC183915.4_FG001_cg.out
3,1,11,-1.85568950852707,11,0.198277893722754,0.448611149248599,largedata/Dm/gene_CG/cg_input/AC183927.3_FG004_cg.out
5,1,87,0.39590159053096,70,0.383805971767051,0.346562093139755,largedata/Dm/gene_CG/cg_input/AC183932.3_FG007_cg.out
8,1,16,1.36902646810987,16,0.643577428388784,0.460911715641081,largedata/Dm/gene_CG/cg_input/AC183950.2_FG003_cg.out
8,1,116,-2.42887352407521,15,0.00872259417258292,0.0346794348602021,largedata/Dm/gene_CG/cg_input/AC183950.2_FG004_cg.out
8,1,90,4.46265533514901,85,0.911805720371943,0.413279703804214,largedata/Dm/gene_CG/cg_input/AC183950.2_FG005_cg.out
4,1,90,-2.20264567326991,77,0.153929173952789,0.381284949316613,largedata/Dm/gene_CG/cg_input/AC183968.2_FG001_cg.out
3,1,44,-1.94938577171129,3,0.00354353499969108,0.0204863483749777,largedata/Dm/gene_CG/cg_input/AC184112.4_FG010_cg.out
7,1,37,-2.12430825137903,4,0.00562530766685119,0.0327304236443369,largedata/Dm/gene_CG/cg_input/AC184116.3_FG001_cg.out
5,1,14,5.36058126292319,14,1.14921847869,0.446480103218403,largedata/Dm/gene_CG/cg_input/AC184127.3_FG003_cg.out
4,1,17,1.5242196559827,14,0.504143905865056,0.347712901539229,largedata/Dm/gene_CG/cg_input/AC184130.4_FG012_cg.out
9,1,105,2.55830312044045,104,0.745314200631576,0.441266729056856,largedata/Dm/gene_CG/cg_input/AC184133.3_FG001_cg.out
3,1,28,-2.242113725727,20,0.102366730000448,0.288036172137972,largedata/Dm/gene_CG/cg_input/AC184164.2_FG004_cg.out
3,1,20,1.20390400174363,20,0.605622622260302,0.450811754213467,largedata/Dm/gene_CG/cg_input/AC184164.2_FG006_cg.out
4,1,88,-1.74811615223703,12,0.026475047626939,0.0558441859580613,largedata/Dm/gene_CG/cg_input/AC184169.3_FG001_cg.out
3,1,91,-2.22701310076343,75,0.13477751142228,0.340482061105673,largedata/Dm/gene_CG/cg_input/AC184699.3_FG005_cg.out
4,1,12,-1.2498117345147,11,0.253709581326996,0.406769906939236,largedata/Dm/gene_CG/cg_input/AC184764.3_FG006_cg.out
5,1,27,-1.25462355835792,23,0.235480852087757,0.365530540772945,largedata/Dm/gene_CG/cg_input/AC184788.2_FG001_cg.out
4,1,56,-1.95440770906233,7,0.0171782348851521,0.0477595939663823,largedata/Dm/gene_CG/cg_input/AC184794.2_FG003_cg.out
1,1,24,-1.6845350249222,17,0.168100447310563,0.326621301239425,largedata/Dm/gene_CG/cg_input/AC184871.2_FG009_cg.out
7,1,35,4.99203104010311,34,1.02042375251433,0.427801061875518,largedata/Dm/gene_CG/cg_input/AC185108.3_FG010_cg.out
4,1,66,-2.69490810932334,13,0.010279283661296,0.0607550636577808,largedata/Dm/gene_CG/cg_input/AC185126.3_FG006_cg.out
5,1,67,-2.5295627592913,49,0.0930343673984169,0.3039737975872,largedata/Dm/gene_CG/cg_input/AC185130.2_FG004_cg.out
5,1,60,-1.78402010207869,40,0.150679760027673,0.296436167562887,largedata/Dm/gene_CG/cg_input/AC185130.2_FG005_cg.out
4,1,33,-1.91231562420494,28,0.162774555516653,0.351727741940384,largedata/Dm/gene_CG/cg_input/AC185217.3_FG007_cg.out
4,1,179,-0.141404047302065,163,0.380083994918261,0.395053032335795,largedata/Dm/gene_CG/cg_input/AC185226.4_FG001_cg.out
4,1,64,-1.13943664761645,6,0.0218263808869804,0.0354664547444851,largedata/Dm/gene_CG/cg_input/AC185254.4_FG002_cg.out
4,1,109,-1.51934650953923,2,0.00142904776157519,0.00546440303012439,largedata/Dm/gene_CG/cg_input/AC185300.4_FG002_cg.out
4,1,22,-1.61874221854926,8,0.060188952713287,0.127081086457391,largedata/Dm/gene_CG/cg_input/AC185305.3_FG003_cg.out
2,1,55,1.25418642069946,44,0.451389726581847,0.335553559120139,largedata/Dm/gene_CG/cg_input/AC185415.3_FG005_cg.out
4,1,28,-2.28534205905319,6,0.0130485527496285,0.0663569675388335,largedata/Dm/gene_CG/cg_input/AC185422.3_FG005_cg.out
4,1,16,-1.49717128717594,16,0.261407051835623,0.461342643372555,largedata/Dm/gene_CG/cg_input/AC185443.3_FG004_cg.out
4,1,18,-1.49038123582489,16,0.235152361215671,0.413373180548942,largedata/Dm/gene_CG/cg_input/AC185466.3_FG001_cg.out
4,1,37,-1.70451193858688,2,0.00280814548655355,0.016199542334031,largedata/Dm/gene_CG/cg_input/AC185471.3_FG005_cg.out
4,1,78,-2.46064562100134,62,0.110136924072969,0.334019901956341,largedata/Dm/gene_CG/cg_input/AC185475.3_FG001_cg.out
4,1,18,-2.44861505173153,17,0.119790599912067,0.411143683519359,largedata/Dm/gene_CG/cg_input/AC185478.4_FG007_cg.out
4,1,11,-1.85723676392619,3,0.0190605274941797,0.0856558676558704,largedata/Dm/gene_CG/cg_input/AC185501.3_FG006_cg.out
4,1,30,1.78684067370223,30,0.665691384096528,0.444250540006593,largedata/Dm/gene_CG/cg_input/AC185522.2_FG002_cg.out
4,1,39,-1.51685065184202,34,0.222464918809963,0.384163660180205,largedata/Dm/gene_CG/cg_input/AC185623.4_FG012_cg.out
5,1,18,-2.06202229487105,16,0.157834030666303,0.393491290564469,largedata/Dm/gene_CG/cg_input/AC185628.3_FG010_cg.out
2,1,47,-2.35744165812191,7,0.00886085073520522,0.0454646938378346,largedata/Dm/gene_CG/cg_input/AC185655.3_FG004_cg.out
